%kf,t,x,y,theta,xg,yg,thetag
0,1389015182.645,-3.386630e-05,-5.356799e-03,7.403287e-03,-8.091733e+00,6.723926e+01,-1.946358e+00
0,1389015182.683,9.065154e-03,-4.644292e-03,4.224891e-03,-8.094472e+00,6.723056e+01,-1.949536e+00
0,1389015182.722,1.833205e-02,-3.918640e-03,9.878557e-04,-8.097262e+00,6.722169e+01,-1.952773e+00
0,1389015182.763,2.783716e-02,-3.600104e-03,-1.778398e-03,-8.100518e+00,6.721275e+01,-1.955539e+00
0,1389015182.805,3.733620e-02,-3.850540e-03,-3.802828e-03,-8.104300e+00,6.720404e+01,-1.957564e+00
0,1389015182.847,4.683525e-02,-4.131913e-03,-5.786725e-03,-8.108111e+00,6.719533e+01,-1.959548e+00
0,1389015182.885,5.526940e-02,-5.187755e-03,-6.492256e-03,-8.112242e+00,6.718790e+01,-1.960253e+00
0,1389015182.925,6.387517e-02,-6.265081e-03,-7.212143e-03,-8.116457e+00,6.718032e+01,-1.960973e+00
0,1389015182.965,7.251205e-02,-7.721911e-03,-7.438138e-03,-8.121035e+00,6.717286e+01,-1.961199e+00
0,1389015183.005,8.092246e-02,-9.534769e-03,-7.137107e-03,-8.125860e+00,6.716573e+01,-1.960898e+00
0,1389015183.049,9.009827e-02,-1.156791e-02,-6.734676e-03,-8.131174e+00,6.715798e+01,-1.960496e+00
0,1389015183.070,9.448350e-02,-1.286037e-02,-6.113076e-03,-8.134012e+00,6.715440e+01,-1.959874e+00
0,1389015183.090,9.859263e-02,-1.407145e-02,-5.530609e-03,-8.136670e+00,6.715104e+01,-1.959292e+00
0,1389015183.127,1.060338e-01,-1.626459e-02,-4.475831e-03,-8.141485e+00,6.714495e+01,-1.958237e+00
0,1389015183.166,1.139733e-01,-1.887807e-02,-2.977666e-03,-8.146876e+00,6.713857e+01,-1.956739e+00
0,1389015183.206,1.219274e-01,-2.174196e-02,-1.142002e-03,-8.152505e+00,6.713226e+01,-1.954903e+00
0,1389015183.290,1.384103e-01,-2.810623e-02,3.266104e-03,-8.164567e+00,6.711935e+01,-1.950495e+00
0,1389015183.328,1.457347e-01,-3.110241e-02,5.461360e-03,-8.170083e+00,6.711367e+01,-1.948300e+00
0,1389015183.409,1.612911e-01,-3.784005e-02,1.068653e-02,-8.182146e+00,6.710176e+01,-1.943074e+00
0,1389015183.449,1.690369e-01,-4.125444e-02,1.338153e-02,-8.188207e+00,6.709585e+01,-1.940379e+00
0,1389015183.470,1.729852e-01,-4.303417e-02,1.483231e-02,-8.191334e+00,6.709286e+01,-1.938929e+00
0,1389015183.489,1.767479e-01,-4.473029e-02,1.621493e-02,-8.194313e+00,6.709000e+01,-1.937546e+00
0,1389015183.529,1.843654e-01,-4.816401e-02,1.901399e-02,-8.200344e+00,6.708422e+01,-1.934747e+00
0,1389015183.570,1.920867e-01,-5.160041e-02,2.183200e-02,-8.206417e+00,6.707834e+01,-1.931929e+00
0,1389015183.612,2.001444e-01,-5.515718e-02,2.476005e-02,-8.212727e+00,6.707219e+01,-1.929001e+00
0,1389015183.651,2.075411e-01,-5.839435e-02,2.742089e-02,-8.218494e+00,6.706654e+01,-1.926340e+00
0,1389015183.700,2.168699e-01,-6.227713e-02,3.058276e-02,-8.225581e+00,6.705934e+01,-1.923178e+00
0,1389015183.731,2.229714e-01,-6.481670e-02,3.265081e-02,-8.230217e+00,6.705463e+01,-1.921110e+00
0,1389015183.774,2.311786e-01,-6.809233e-02,3.528781e-02,-8.236322e+00,6.704824e+01,-1.918473e+00
0,1389015183.813,2.386208e-01,-7.100279e-02,3.761732e-02,-8.241802e+00,6.704243e+01,-1.916144e+00
0,1389015183.852,2.462410e-01,-7.395224e-02,3.996959e-02,-8.247386e+00,6.703646e+01,-1.913791e+00
0,1389015183.894,2.542919e-01,-7.692570e-02,4.230133e-02,-8.253152e+00,6.703010e+01,-1.911460e+00
0,1389015183.933,2.618539e-01,-7.971859e-02,4.449147e-02,-8.258568e+00,6.702413e+01,-1.909270e+00
0,1389015183.975,2.698908e-01,-8.257966e-02,4.669744e-02,-8.264225e+00,6.701775e+01,-1.907064e+00
0,1389015184.014,2.773065e-01,-8.518112e-02,4.868922e-02,-8.269409e+00,6.701184e+01,-1.905072e+00
0,1389015184.054,2.849905e-01,-8.785168e-02,5.072256e-02,-8.274758e+00,6.700571e+01,-1.903038e+00
0,1389015184.101,2.941796e-01,-9.093358e-02,5.301784e-02,-8.281050e+00,6.699834e+01,-1.900743e+00
0,1389015184.136,3.007314e-01,-9.313093e-02,5.465435e-02,-8.285537e+00,6.699308e+01,-1.899107e+00
0,1389015184.176,3.083859e-01,-9.562618e-02,5.646938e-02,-8.290711e+00,6.698692e+01,-1.897292e+00
0,1389015184.216,3.160459e-01,-9.810026e-02,5.825480e-02,-8.295868e+00,6.698074e+01,-1.895506e+00
0,1389015184.256,3.237243e-01,-1.005613e-01,6.001484e-02,-8.301020e+00,6.697453e+01,-1.893746e+00
0,1389015184.296,3.313891e-01,-1.029647e-01,6.168896e-02,-8.306114e+00,6.696832e+01,-1.892072e+00
0,1389015184.336,3.389468e-01,-1.053346e-01,6.333968e-02,-8.311136e+00,6.696220e+01,-1.890421e+00
0,1389015184.377,3.466266e-01,-1.077046e-01,6.494161e-02,-8.316204e+00,6.695596e+01,-1.888819e+00
0,1389015184.416,3.540834e-01,-1.099950e-01,6.647566e-02,-8.321115e+00,6.694990e+01,-1.887285e+00
0,1389015184.457,3.616250e-01,-1.123041e-01,6.800411e-02,-8.326075e+00,6.694377e+01,-1.885757e+00
0,1389015184.499,3.694262e-01,-1.146736e-01,6.952509e-02,-8.331188e+00,6.693742e+01,-1.884236e+00
0,1389015184.537,3.766251e-01,-1.168603e-01,7.092866e-02,-8.335906e+00,6.693155e+01,-1.882832e+00
0,1389015184.577,3.839785e-01,-1.190922e-01,7.231022e-02,-8.340724e+00,6.692557e+01,-1.881451e+00
0,1389015184.618,3.913698e-01,-1.213351e-01,7.368614e-02,-8.345567e+00,6.691955e+01,-1.880075e+00
0,1389015184.658,3.986846e-01,-1.235595e-01,7.503175e-02,-8.350363e+00,6.691360e+01,-1.878729e+00
0,1389015184.699,4.061146e-01,-1.258292e-01,7.636311e-02,-8.355245e+00,6.690755e+01,-1.877398e+00
0,1389015184.738,4.131893e-01,-1.279903e-01,7.763079e-02,-8.359893e+00,6.690180e+01,-1.876130e+00
0,1389015184.783,4.210510e-01,-1.304008e-01,7.900362e-02,-8.365067e+00,6.689541e+01,-1.874757e+00
0,1389015184.819,4.275945e-01,-1.324085e-01,8.014079e-02,-8.369374e+00,6.689009e+01,-1.873620e+00
