%t_sec,seq,x,y,theta,pan,tilt,fx,fy,cx,cy,width,height,omega,battery,rc -- /home/cedricp/Bags/140106_around_the_lake_auto/2014-01-06-08-30-57_0.bag
1389015182.019781,5783.000000,296869.354581,5442697.674762,-1.921033,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.016536,15.624150,1.000000
1389015182.120090,5784.000000,296869.353580,5442697.647532,-1.916976,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.019076,15.708960,1.000000
1389015182.219926,5785.000000,296869.355102,5442697.621211,-1.911248,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.020233,15.766830,1.000000
1389015182.320348,5786.000000,296869.359713,5442697.595689,-1.908523,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.024308,15.792381,1.000000
1389015182.420313,5787.000000,296869.364565,5442697.568829,-1.918404,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.026617,15.813014,1.000000
1389015182.528391,5788.000000,296869.370663,5442697.535080,-1.922018,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.027690,15.824983,1.000000
1389015182.621747,5789.000000,296869.375660,5442697.507420,-1.919058,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.027616,15.821853,1.000000
1389015182.722051,5790.000000,296869.380743,5442697.479281,-1.912315,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.033716,15.801585,1.000000
1389015182.828263,5791.000000,296869.386140,5442697.449406,-1.905139,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.040105,15.818197,1.000000
1389015182.921638,5792.000000,296869.390898,5442697.423074,-1.897249,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.041617,15.833553,1.000000
1389015183.021402,5793.000000,296869.395943,5442697.395149,-1.893139,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.040570,15.838185,1.000000
1389015183.120763,5794.000000,296869.400928,5442697.367556,-1.889877,1.569978,0.199948,759.308012,690.439840,370.915450,250.909693,704.000000,480.000000,0.036414,15.836124,1.000000
